cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2002,10,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2003,10,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2004,6,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2005,7,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2006,13,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2007,6,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2008,10,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2009,8,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2010,7,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2011,4,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2012,8,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2013,10,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2014,3,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2015,6,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2016,3,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2017,2,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2019,1,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2020,2,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2021,1,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2022,1,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,1997,418,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,1998,1030,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,1999,793,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2000,780,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2001,1072,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2002,624,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2003,519,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2004,571,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2005,573,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2006,603,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2007,793,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2008,707,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2009,814,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2010,785,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2011,883,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2012,1278,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2013,1221,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2014,1023,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2015,562,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2016,473,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2017,172,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2018,69,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2019,31,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2020,83,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2021,119,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2022,205,Víctimas
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1997,21,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1998,23,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1999,13,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2000,23,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2001,61,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2002,107,Accidentes
06,Colima,003,Comala,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2003,90,Accidentes
